points_last_5,minutes_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,ict_index,player_position,player_price,xG_per_90,xA_per_90,home_away_current_plus_1,home_away_current_plus_2,home_away_current_plus_3,home_away_current_plus_4,home_away_current_plus_5,home_away_current_plus_6,home_away_current_plus_7,fdr_current_plus_1,fdr_current_plus_2,fdr_current_plus_3,fdr_current_plus_4,fdr_current_plus_5,fdr_current_plus_6,fdr_current_plus_7,total_points_plus_7
24,447,1,2,2,2,4.6,2,5.0,0.0,0.04,0,1,1,0,0,1,0,3,3,4,2,2,2,4,35
24,447,1,2,1,2,7.6,2,5.0,0.16,0.13,1,1,0,0,1,0,0,3,4,2,2,2,4,2,31
17,447,0,2,2,0,6.4,2,5.0,0.04,0.25,1,0,0,1,0,0,1,4,2,2,2,4,2,2,27
20,450,1,1,1,2,8.7,2,5.1,0.33,0.17,0,0,1,0,0,1,0,2,2,2,4,2,2,3,27
20,450,1,1,1,2,4.2,2,5.1,0.08,0.25,0,1,0,0,1,0,1,2,2,4,2,2,3,3,26
21,450,1,1,2,2,1.3,2,5.1,0.0,0.02,1,0,0,1,0,1,0,2,4,2,2,3,3,4,19
29,450,2,1,2,5,12.5,2,5.1,0.29,0.06,0,0,1,0,1,0,1,4,2,2,3,3,4,3,21
27,434,2,0,2,5,4.5,2,5.1,0.04,0.19,0,1,0,1,0,1,0,2,2,3,3,4,3,2,20
21,434,1,0,3,3,4.7,2,5.1,0.07,0.03,1,0,1,0,1,0,1,2,3,3,4,3,2,3,21
20,359,1,0,3,3,0.0,2,5.1,0.0,0.0,0,1,0,1,0,1,1,3,3,4,3,2,3,5,18
22,359,1,1,2,3,8.7,2,5.1,0.07,0.08,1,0,1,0,1,1,0,3,4,3,2,3,5,2,18
14,359,0,1,2,0,2.7,2,5.1,0.0,0.09,0,1,0,1,1,0,0,4,3,2,3,5,2,3,19
13,375,0,1,2,0,8.2,2,5.1,0.31,0.16,1,0,1,1,0,0,1,3,2,3,5,2,3,2,19
13,375,0,1,2,0,4.6,2,5.0,0.09,0.15,0,1,1,0,0,1,1,2,3,5,2,3,2,2,15
