points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,goals_conceded_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_conceded_per_game_last_5,xG_sum_last_5,xA_sum_last_5,xGoals_Conceeded_sum_last_5,home_away_current,fdr_current,actual_gw_points
2,1.5,0,0,0,0,0,0,0,0,2138,9733,2.2,0.0,0.0,0.0,4.3,0.0,0.0,2.35,0.0,0.0,0.0,0,4,0
2,1.5,0,0,0,0,0,0,0,0,2694,10762,2.2,0.0,0.0,-0.2,4.3,0.0,0.0,2.35,0.0,0.0,0.0,0,3,0
2,1.5,0,0,0,0,0,0,0,0,2177,7456,2.2,0.0,0.0,-0.1,4.3,0.0,0.0,2.35,0.0,0.0,0.0,1,3,0
2,1.5,0,0,0,0,0,0,0,0,1876,5171,2.2,0.0,0.0,-0.2,4.2,0.0,0.0,2.35,0.0,0.0,0.0,1,4,0
1,2.0,0,0,0,0,0,0,0,0,2153,3704,2.2,0.0,0.0,-0.1,4.2,0.0,0.0,2.35,0.0,0.0,0.0,0,2,1
1,8.0,0,0,0,0,0,0,0,0,2021,3251,0.2,0.1,0.0,-0.1,4.2,0.0,0.0,2.35,0.0,0.0,0.14,0,2,0
1,8.0,0,0,0,0,0,0,0,0,1725,2529,0.2,0.1,0.0,-0.1,4.2,0.0,0.0,2.35,0.0,0.0,0.14,1,2,0
1,8.0,0,0,0,0,0,0,0,0,1810,2688,0.2,0.1,0.0,-0.1,4.2,0.0,0.0,2.35,0.0,0.0,0.14,0,4,1
2,4.5,0,0,0,0,0,0,0,0,1573,2508,0.2,0.1,0.0,0.0,4.2,0.0,0.0,2.35,0.0,0.0,0.14,0,2,0
2,4.5,0,0,0,0,0,0,0,0,1156,2148,0.2,0.1,0.0,0.0,4.2,0.0,0.0,2.35,0.0,0.0,0.14,1,2,0
1,1.0,0,0,0,0,0,0,0,0,1601,2255,0.0,0.0,0.0,0.0,4.2,0.0,0.0,2.35,0.0,0.0,0.0,0,3,1
2,2.0,0,0,0,0,0,0,0,0,1456,2209,1.0,0.0,0.0,0.0,4.2,0.0,0.0,2.35,0.0,0.0,0.14,1,3,0
2,2.0,0,0,0,0,0,0,0,0,1321,1948,1.0,0.0,0.0,0.0,4.2,0.0,0.0,2.35,0.0,0.0,0.14,0,4,0
1,3.0,0,0,0,0,0,0,0,0,1279,1804,1.0,0.0,0.0,0.0,4.2,0.0,0.0,2.35,0.0,0.0,0.14,1,3,1
2,2.0,0,0,0,0,0,0,0,0,1127,1701,1.0,0.0,0.0,0.0,4.2,0.0,0.0,2.35,0.0,0.0,0.14,0,2,0
2,2.0,0,0,0,0,0,0,0,0,482,1230,1.0,0.0,0.0,0.0,4.2,0.0,0.0,2.35,0.0,0.0,0.14,1,3,0
1,1.0,0,0,0,0,0,0,0,0,442,1154,0.0,0.0,0.0,0.0,4.2,0.0,0.0,2.35,0.0,0.0,0.0,1,5,0
1,1.0,0,0,0,0,0,0,0,0,453,1138,0.0,0.0,0.0,0.0,4.2,0.0,0.0,2.35,0.0,0.0,0.0,0,2,1
