points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,bonus_points_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_sum_last_5,xA_sum_last_5,home_away_current,fdr_current,actual_gw_points
5,12.0,0,0,0,0,0,0,9759,54578,17.0,22.8,100.0,0.0,6.7,0.11,0.01,0.53,0.06,0,4,1
5,13.8,0,0,0,0,0,0,10826,60148,16.8,12.5,102.0,-0.4,6.6,0.11,0.0,0.53,0.02,0,3,1
5,15.0,0,0,0,0,0,0,7241,39263,14.6,12.7,87.0,-0.3,6.6,0.1,0.0,0.49,0.02,1,3,1
5,13.8,0,0,0,0,0,0,5398,24098,9.4,2.4,72.0,-0.2,6.6,0.08,0.01,0.41,0.03,1,4,1
5,8.2,0,0,0,0,0,0,5237,16120,2.2,2.0,11.0,-0.1,6.6,0.01,0.0,0.05,0.02,0,2,1
5,9.4,0,0,0,0,0,0,4879,12362,2.2,1.9,13.0,-0.2,6.5,0.01,0.0,0.07,0.02,0,2,1
5,10.0,0,0,0,0,0,0,4300,7552,1.6,4.2,29.0,-0.1,6.5,0.03,0.01,0.16,0.03,1,2,1
5,10.6,0,0,0,0,0,0,4651,7759,3.8,14.4,33.0,-0.1,6.5,0.03,0.01,0.16,0.06,0,4,0
4,10.75,0,0,0,0,0,0,5068,7132,3.6,13.8,31.0,-0.1,6.5,0.04,0.01,0.16,0.04,0,2,0
3,14.0,0,0,0,0,0,0,4913,6252,3.6,13.5,31.0,-0.1,6.5,0.05,0.01,0.16,0.04,1,2,6
8,41.33,1,0,0,0,0,1,276772,82321,35.6,15.9,79.0,0.0,6.5,0.18,0.02,0.55,0.07,0,3,8
15,65.0,2,0,2,0,0,2,338708,97635,67.8,16.4,100.0,0.0,6.5,0.39,0.03,1.18,0.08,1,3,1
15,90.0,2,0,2,1,0,3,421225,131313,69.6,9.8,136.0,0.0,6.5,0.43,0.04,1.28,0.11,0,4,2
17,90.0,2,0,2,1,0,4,511549,180280,81.2,12.1,208.0,0.1,6.6,0.62,0.05,2.5,0.22,1,3,13
30,90.0,4,0,5,1,0,5,558691,234595,152.6,14.0,315.0,0.1,6.6,0.84,0.05,4.18,0.23,0,2,2
26,90.0,3,0,5,1,0,5,858921,189380,124.6,22.4,277.0,0.2,6.7,0.78,0.06,3.92,0.28,1,3,2
20,90.0,2,0,3,1,0,5,1259110,212447,98.2,40.2,261.0,0.3,6.8,0.64,0.07,3.22,0.35,1,5,4
23,90.0,2,1,3,1,0,5,1638522,216739,94.2,36.5,241.0,0.3,6.8,0.73,0.06,3.63,0.29,0,2,2
23,90.0,2,1,3,1,0,5,1626112,297250,82.8,45.5,220.0,0.2,6.8,0.71,0.08,3.56,0.4,0,3,1
11,76.0,0,1,0,1,0,4,1797006,328396,12.6,43.9,113.0,0.2,6.8,0.38,0.08,1.88,0.39,1,2,4
13,61.6,0,2,0,1,0,3,1442926,382590,29.6,43.9,115.0,0.1,6.8,0.45,0.16,2.23,0.81,1,2,0
11,54.5,0,2,0,1,0,2,988497,1011987,22.4,23.3,92.0,0.0,6.8,0.55,0.18,2.21,0.72,0,2,0
7,42.67,0,1,0,0,0,1,526918,1298041,22.4,22.7,70.0,-0.2,6.6,0.57,0.24,1.7,0.72,1,2,0
