points_last_5,minutes_per_game_last_5,clean_sheets_last_5,bonus_points_last_5,goals_conceded_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,saves_last_5,influence_last_5,player_price_diff_last_5,player_price,saves_per_game_last_5,xG_conceded_per_game_last_5,xG_conceded_sum_last_5,home_away_current,fdr_current,actual_gw_points
17,90.0,2,0,4,0,0,5,318432,414013,8,74.4,0.0,5.0,1.6,0.65,3.23,0,4,2
13,90.0,1,0,7,0,0,5,336074,681945,9,80.6,0.0,5.0,1.8,0.71,3.57,0,3,6
18,90.0,2,0,5,0,0,5,268918,679712,10,86.8,-0.1,4.9,2.0,0.73,3.64,1,3,2
14,90.0,1,0,6,0,0,5,219915,601710,11,98.4,-0.1,4.9,2.2,0.99,4.93,1,4,1
13,90.0,1,0,7,0,0,5,168447,560034,11,92.2,-0.1,4.9,2.2,1.05,5.23,0,2,10
21,90.0,2,3,6,0,0,5,172656,500816,13,109.6,-0.1,4.9,2.6,1.33,6.64,0,2,2
21,90.0,2,3,4,0,0,5,200249,260566,12,99.2,-0.1,4.9,2.4,1.15,5.76,1,2,6
21,90.0,2,3,4,0,0,5,215825,228049,12,93.0,0.0,4.9,2.4,1.13,5.66,0,4,6
25,90.0,3,3,3,0,0,5,197479,195715,11,86.6,0.0,4.9,2.2,0.88,4.38,0,2,6
30,90.0,4,3,1,0,0,5,231176,160652,11,88.4,0.0,4.9,2.2,0.79,3.93,1,2,3
23,90.0,3,0,2,0,0,5,553305,323043,10,73.6,0.0,4.9,2.0,0.63,3.14,0,3,2
23,90.0,3,0,3,0,0,5,529478,333917,11,82.0,0.0,4.9,2.2,0.72,3.62,1,3,6
23,90.0,3,0,3,0,0,5,497947,362310,10,77.8,0.0,4.9,2.0,0.85,4.27,0,4,11
28,90.0,3,3,3,0,0,5,495292,378212,16,119.2,0.0,4.9,3.2,1.1,5.52,1,3,1
23,90.0,2,3,5,0,0,5,491131,383914,16,114.6,0.0,4.9,3.2,1.03,5.17,0,2,3
23,90.0,2,3,5,0,0,5,172966,241981,16,111.2,0.0,4.9,3.2,1.15,5.76,1,3,2
23,90.0,2,3,4,0,0,5,206562,243880,14,95.2,0.0,4.9,2.8,1.4,6.98,1,5,1
18,90.0,1,3,7,0,0,5,251045,228347,15,107.6,0.0,4.9,3.0,1.52,7.61,0,2,2
9,90.0,0,0,9,0,0,5,258129,203116,11,76.0,0.0,4.9,2.2,1.32,6.58,0,3,6
14,90.0,1,0,7,0,0,5,265437,225526,9,69.4,0.0,4.9,1.8,1.25,6.27,1,2,7
18,90.0,2,0,6,0,0,5,282554,214402,11,92.6,0.0,4.9,2.2,1.19,5.97,1,2,1
17,90.0,2,0,7,0,0,5,267120,216506,12,103.8,0.0,4.9,2.4,0.98,4.92,0,2,6
22,90.0,3,0,4,0,0,5,225076,223696,12,99.0,0.0,4.9,2.4,0.81,4.05,1,2,3
23,90.0,3,0,3,0,0,5,219942,227835,12,104.0,0.0,4.9,2.4,0.83,4.14,1,2,3
20,90.0,2,0,4,0,0,5,171231,215968,16,135.0,0.0,4.9,3.2,0.98,4.9,0,4,1
14,90.0,1,0,6,1,0,5,106056,197231,15,129.2,0.0,4.9,3.0,1.5,7.5,0,3,1
14,90.0,1,0,6,1,0,5,84843,177632,14,125.2,0.0,4.9,2.8,1.59,7.93,1,2,2
10,90.0,0,0,9,1,0,5,100625,151393,15,128.0,0.0,4.9,3.0,1.7,8.51,0,5,1
8,90.0,0,0,12,1,0,5,83505,167013,17,145.6,0.0,4.9,3.4,1.99,9.97,1,3,3
8,90.0,0,0,12,1,0,5,65321,171159,16,137.8,-0.1,4.8,3.2,1.99,9.93,0,4,10
17,90.0,1,3,10,0,0,5,65879,160428,17,138.8,-0.1,4.8,3.4,1.45,7.27,1,3,2
18,90.0,1,3,11,0,0,5,68214,148824,19,144.2,-0.1,4.8,3.8,1.46,7.3,0,2,2
18,90.0,1,3,9,0,0,5,60859,147643,17,138.6,-0.1,4.8,3.4,1.29,6.43,1,2,6
19,90.0,0,2,9,0,0,5,91449,211932,18,158.8,0.0,5.0,3.6,1.6,7.98,1,5,3
21,90.0,0,2,8,0,0,5,102822,259188,20,177.2,-0.1,4.9,4.0,1.9,9.49,1,2,6
24,90.0,1,2,7,0,0,5,104330,242427,17,153.8,-0.1,4.9,3.4,1.65,8.25,0,2,6
20,90.0,2,0,4,0,0,5,149588,200460,12,94.4,-0.1,4.9,2.4,1.19,5.93,0,2,2
20,90.0,2,0,4,0,0,5,200663,179461,13,100.2,-0.1,4.9,2.6,1.14,5.68,1,3,1
18,90.0,2,0,4,0,0,5,215763,147951,9,86.2,-0.1,4.9,1.8,0.8,3.99,0,2,2
17,90.0,2,0,6,0,0,5,213797,121188,11,90.8,0.0,4.9,2.2,0.81,4.06,1,3,7
18,90.0,2,0,6,0,0,5,194725,119863,13,108.6,0.0,4.9,2.6,0.93,4.67,0,4,1
13,78.8,1,0,6,0,0,5,137653,121964,13,100.4,0.0,4.9,2.6,0.97,4.85,1,3,2
13,78.8,1,0,6,1,0,5,44763,173653,14,113.0,0.0,4.9,2.8,1.01,5.06,0,3,1
13,78.8,1,0,5,2,0,5,27689,161270,13,102.4,0.0,4.9,2.6,0.97,4.85,1,4,0
11,76.0,1,0,2,2,0,4,87098,249773,8,70.2,0.0,4.9,2.0,0.67,2.68,0,4,0
4,71.33,0,0,2,2,0,3,86854,237919,5,41.2,0.0,4.9,1.67,0.58,1.73,1,2,2
5,90.0,0,0,3,2,0,3,98273,220992,6,59.8,0.0,4.9,2.0,0.68,2.03,1,2,1
4,90.0,0,0,3,2,0,3,120318,165653,5,53.2,0.0,4.9,1.67,1.3,3.89,0,2,10
13,90.0,1,3,2,1,0,3,135133,160245,9,90.0,0.0,4.9,3.0,1.21,3.64,1,3,0
13,90.0,1,3,6,1,0,4,91428,63714,10,102.0,0.0,4.9,2.5,1.47,5.89,0,5,2
15,90.0,1,3,9,1,0,5,92946,65704,15,138.4,0.0,4.9,3.0,1.9,9.48,1,4,-3
10,90.0,1,3,12,2,0,5,82359,70443,15,125.2,0.0,4.9,3.0,2.38,11.91,0,2,9
18,90.0,2,6,11,2,0,5,74431,74232,17,135.6,0.0,4.9,3.4,2.25,11.24,1,2,7
15,90.0,2,4,11,2,0,5,80439,69343,12,96.0,0.0,4.9,2.4,2.2,11.0,0,3,3
18,90.0,2,4,8,2,0,5,65027,71140,15,111.4,0.0,4.9,3.0,2.19,10.97,1,2,7
23,90.0,3,4,5,2,0,5,111641,56167,13,102.8,0.0,4.9,2.6,1.59,7.97,0,4,11
37,90.0,4,7,1,1,0,5,162599,61694,18,149.2,0.0,4.9,3.6,1.36,6.78,0,3,3
31,90.0,3,4,2,0,0,5,206135,61562,17,138.6,0.0,4.9,3.4,1.11,5.55,1,2,9
33,90.0,3,6,2,0,0,5,297142,58135,19,150.8,0.0,4.9,3.8,1.13,5.63,1,3,6
36,90.0,4,6,1,0,0,5,333885,62585,17,141.8,0.1,5.0,3.4,0.79,3.95,0,3,1
30,81.0,3,6,1,0,0,5,371537,65939,16,128.6,0.1,5.0,3.2,0.72,3.61,1,2,5
24,81.0,3,3,1,1,0,5,324722,115894,9,78.0,0.1,5.0,1.8,0.32,1.62,0,4,3
24,81.0,3,3,1,1,0,5,283550,135498,11,103.8,0.1,5.0,2.2,0.47,2.33,0,2,2
17,81.0,2,0,2,1,0,5,209023,141610,10,97.0,0.1,5.0,2.0,0.55,2.77,1,3,2
13,81.0,1,0,3,1,0,5,170422,151581,9,84.4,0.0,5.0,1.8,0.72,3.59,0,4,2
14,90.0,1,0,4,2,0,5,85876,175315,11,95.8,0.0,5.0,2.2,0.82,4.09,1,3,3
8,90.0,1,0,16,0,0,4,20381,22200,13,103.4,0.0,4.5,3.25,1.76,7.05,0,2,0
2,90.0,0,0,16,0,0,3,21122,26227,11,88.8,0.0,4.5,3.67,2.13,6.39,0,4,0
1,90.0,0,0,12,0,0,2,6754,22692,7,58.2,-0.1,4.4,3.5,2.32,4.64,1,3,0
-1,90.0,0,0,9,0,0,1,5070,16772,4,31.8,-0.1,4.4,4.0,3.32,3.32,1,3,0
0,0.0,0,0,0,0,0,0,4408,14496,0,0.0,-0.1,4.4,0.0,0.0,0.0,0,2,0
0,0.0,0,0,0,0,0,0,3893,12286,0,0.0,-0.1,4.4,0.0,0.0,0.0,1,2,0
0,0.0,0,0,0,0,0,0,3344,9641,0,0.0,-0.1,4.4,0.0,0.0,0.0,0,3,1
1,45.0,0,0,1,0,0,0,2233,9401,1,5.6,-0.1,4.3,1.0,1.11,1.11,1,3,2
3,67.5,0,0,4,0,0,1,2985,7821,5,37.4,-0.1,4.3,2.5,1.6,3.2,0,2,0
3,75.0,0,0,8,0,0,2,5163,6972,5,47.6,-0.1,4.3,1.67,1.79,5.36,1,2,8
11,78.75,1,1,8,0,0,3,9717,7761,8,71.4,-0.1,4.3,2.0,1.55,6.19,0,4,2
13,81.0,1,1,10,0,0,4,27597,19796,11,94.6,-0.1,4.3,2.2,1.59,7.93,1,2,2
14,90.0,1,1,11,0,0,5,31253,20470,14,118.2,0.0,4.3,2.8,1.66,8.31,0,4,2
14,90.0,1,1,11,0,0,5,30409,22735,13,112.2,0.0,4.3,2.6,1.69,8.43,0,3,0
14,90.0,1,1,7,0,0,4,29560,24065,13,102.0,0.0,4.3,3.25,1.57,6.27,1,2,0
6,90.0,0,0,7,0,0,3,26193,23844,10,78.2,0.0,4.3,3.33,1.81,5.44,0,3,0
4,90.0,0,0,5,0,0,2,8617,13792,7,55.0,0.0,4.3,3.5,1.85,3.7,1,3,0
2,90.0,0,0,3,0,0,1,5152,13401,3,25.8,-0.1,4.2,3.0,2.21,2.21,0,2,0
0,0.0,0,0,0,0,0,0,4769,11175,0,0.0,-0.1,4.2,0.0,0.0,0.0,1,5,0
0,0.0,0,0,0,0,0,0,3540,9899,0,0.0,-0.1,4.2,0.0,0.0,0.0,0,4,0
0,0.0,0,0,0,0,0,0,2475,8621,0,0.0,-0.1,4.2,0.0,0.0,0.0,1,4,0
0,0.0,0,0,0,0,0,0,2472,6210,0,0.0,-0.1,4.2,0.0,0.0,0.0,0,2,0
0,0.0,0,0,0,0,0,0,2367,5438,0,0.0,0.0,4.2,0.0,0.0,0.0,1,2,0
0,0.0,0,0,0,0,0,0,2373,5436,0,0.0,0.0,4.2,0.0,0.0,0.0,1,3,0
0,0.0,0,0,0,0,0,0,2165,5074,0,0.0,0.0,4.2,0.0,0.0,0.0,0,3,0
0,0.0,0,0,0,0,0,0,1942,4868,0,0.0,0.0,4.2,0.0,0.0,0.0,0,4,0
0,0.0,0,0,0,0,0,0,1773,4455,0,0.0,0.0,4.2,0.0,0.0,0.0,1,2,0
0,0.0,0,0,0,0,0,0,1796,4034,0,0.0,0.0,4.2,0.0,0.0,0.0,0,2,0
0,0.0,0,0,0,0,0,0,1615,3296,0,0.0,0.0,4.2,0.0,0.0,0.0,1,2,0
0,0.0,0,0,0,0,0,0,1611,2659,0,0.0,0.0,4.2,0.0,0.0,0.0,1,3,0
0,0.0,0,0,0,0,0,0,1800,2448,0,0.0,0.0,4.2,0.0,0.0,0.0,0,2,0
0,0.0,0,0,0,0,0,0,1785,2339,0,0.0,-0.1,4.1,0.0,0.0,0.0,1,3,0
0,0.0,0,0,0,0,0,0,2229,2325,0,0.0,-0.1,4.1,0.0,0.0,0.0,0,2,3
6,90.0,1,0,2,2,0,2,5954,3785,4,28.2,0.0,4.5,2.0,1.7,3.41,0,4,4
10,90.0,1,0,3,2,0,3,7342,4452,10,75.0,0.0,4.5,3.33,1.78,5.33,1,3,8
18,90.0,2,1,3,2,0,4,15077,6280,14,106.2,0.0,4.5,3.5,1.55,6.2,1,3,3
21,90.0,2,1,4,2,0,5,27629,9098,18,136.2,0.0,4.5,3.6,1.46,7.28,0,2,1
16,90.0,1,1,6,1,0,5,39599,11976,17,126.8,0.0,4.5,3.4,1.58,7.9,1,2,2
18,90.0,1,1,5,0,0,5,40483,15254,18,140.6,0.0,4.5,3.6,1.41,7.03,0,3,1
15,81.0,1,1,5,0,0,5,39346,21060,13,102.4,0.0,4.5,2.6,1.18,5.9,1,3,0
7,78.75,0,0,5,0,0,4,31438,26503,9,71.2,0.0,4.5,2.25,1.26,5.03,0,2,0
4,75.0,0,0,4,0,0,3,18457,28056,5,41.2,0.0,4.5,1.67,1.32,3.95,1,2,0
3,67.5,0,0,2,0,0,2,6152,27152,3,27.4,0.0,4.5,1.5,0.91,1.82,0,4,0
1,45.0,0,0,1,0,0,1,2179,28279,1,8.6,0.0,4.5,1.0,0.79,0.79,1,2,0
0,0.0,0,0,0,0,0,0,1447,22379,0,0.0,0.0,4.5,0.0,0.0,0.0,0,4,0
0,0.0,0,0,0,0,0,0,653,14701,0,0.0,0.0,4.5,0.0,0.0,0.0,0,3,0
0,90.0,0,0,2,1,0,1,553,9899,2,12.6,0.0,4.5,2.0,1.47,1.47,1,2,3
3,90.0,0,0,3,1,0,2,2605,7589,6,40.6,0.0,4.5,3.0,1.62,3.24,0,3,3
6,90.0,0,0,4,1,0,3,2807,3774,11,74.6,0.0,4.5,3.67,1.95,5.85,1,3,4
10,90.0,0,0,5,1,0,4,3178,3558,17,117.4,0.0,4.5,4.25,1.78,7.12,0,2,10
20,90.0,1,3,5,1,0,5,3671,3520,21,148.8,0.0,4.5,4.2,1.66,8.28,1,5,0
20,90.0,1,3,7,0,0,5,6804,3976,21,153.6,0.0,4.5,4.2,1.84,9.19,0,4,2
