points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,goals_conceded_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_conceded_per_game_last_5,xG_sum_last_5,xA_sum_last_5,xGoals_Conceeded_sum_last_5,home_away_current,fdr_current,actual_gw_points
24,89.4,1,2,2,2,4,1,0,5,273221,108269,118.0,124.5,56.0,0.0,5.0,0.09,0.08,5.17,0.47,0.38,3.21,0,4,2
24,89.4,1,2,1,2,7,0,0,5,323942,150214,116.6,124.4,100.0,0.0,5.0,0.13,0.09,5.17,0.63,0.45,3.55,0,3,5
17,89.4,0,2,2,0,5,1,0,5,326241,155496,86.8,135.1,75.0,0.0,5.0,0.06,0.12,5.17,0.29,0.6,3.62,1,3,9
20,90.0,1,1,1,2,6,1,0,5,221555,155475,97.2,121.3,100.0,0.1,5.1,0.12,0.13,5.17,0.62,0.66,4.93,1,4,2
20,90.0,1,1,1,2,7,1,0,5,227850,141005,105.6,103.6,106.0,0.1,5.1,0.12,0.17,5.17,0.61,0.84,5.23,0,2,3
21,90.0,1,1,2,2,6,1,0,5,204667,137152,101.6,81.4,100.0,0.1,5.1,0.12,0.16,5.17,0.61,0.82,6.64,0,2,10
29,90.0,2,1,2,5,4,1,0,5,188007,112719,135.4,108.1,88.0,0.1,5.1,0.15,0.15,5.17,0.74,0.75,5.76,1,2,3
27,86.8,2,0,2,5,4,0,0,5,254694,112168,113.2,98.1,101.0,0.1,5.1,0.15,0.14,5.17,0.74,0.69,5.62,0,4,3
21,86.8,1,0,3,3,3,0,0,5,250153,124634,97.4,82.5,92.0,0.0,5.1,0.1,0.11,5.17,0.48,0.55,4.34,0,2,1
20,71.8,1,0,3,3,1,0,0,5,190234,139765,80.8,75.4,74.0,0.0,5.1,0.08,0.06,5.17,0.4,0.3,3.21,1,2,5
22,71.8,1,1,2,3,2,0,0,5,252174,221667,104.0,104.5,95.0,0.0,5.1,0.09,0.07,5.17,0.47,0.36,2.42,0,3,2
14,71.8,0,1,2,0,3,0,0,5,233500,221234,69.8,75.4,61.0,0.0,5.1,0.04,0.08,5.17,0.18,0.39,2.9,1,3,2
13,75.0,0,1,2,0,3,1,0,5,161974,238278,75.2,87.5,80.0,0.0,5.1,0.09,0.07,5.17,0.45,0.36,3.59,0,4,3
13,75.0,0,1,2,0,3,1,0,5,143335,233493,78.2,102.0,61.0,-0.1,5.0,0.09,0.1,5.17,0.47,0.48,4.84,1,3,5
17,90.0,0,2,2,0,5,1,0,5,124047,223505,113.4,151.9,71.0,-0.1,5.0,0.09,0.24,5.17,0.47,1.2,5.17,0,2,2
14,90.0,0,1,2,0,5,1,0,5,44991,132188,86.2,147.1,61.0,-0.1,5.0,0.1,0.24,5.17,0.52,1.2,5.76,1,3,2
14,88.0,0,1,2,0,4,1,0,5,46640,128462,86.8,169.8,71.0,-0.2,4.9,0.11,0.24,5.17,0.54,1.2,6.84,1,5,2
14,86.4,0,1,1,0,7,0,0,5,57215,110410,83.6,135.7,42.0,-0.2,4.9,0.06,0.22,5.17,0.28,1.12,7.47,0,2,2
13,84.0,0,1,0,0,9,0,0,5,52762,91849,64.4,120.4,47.0,-0.1,4.9,0.05,0.2,5.17,0.25,0.99,6.33,0,3,3
11,84.0,0,0,1,0,7,0,0,5,60302,80175,38.0,88.1,41.0,-0.1,4.9,0.05,0.07,5.17,0.25,0.35,6.02,1,2,3
