points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,goals_conceded_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,saves_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_90_last_5,xA_per_90_last_5,xG_conceded_per_90_last_5,home_away_current,fdr_current,actual_gw_points,position_1,position_2,position_3
24,89.4,1,2,2,2,4,1,0,5,273221,108269,0,118.0,124.5,56.0,0.0,5.0,0.09,0.08,0.64,0,4,2,0,1,0
24,89.4,1,2,1,2,7,0,0,5,323942,150214,0,116.6,124.4,100.0,0.0,5.0,0.13,0.09,0.71,0,3,5,0,1,0
17,89.4,0,2,2,0,5,1,0,5,326241,155496,0,86.8,135.1,75.0,0.0,5.0,0.06,0.12,0.72,1,3,9,0,1,0
20,90.0,1,1,1,2,6,1,0,5,221555,155475,0,97.2,121.30000000000001,100.0,0.1,5.1,0.12,0.13,0.99,1,4,2,0,1,0
20,90.0,1,1,1,2,7,1,0,5,227850,141005,0,105.60000000000001,103.60000000000001,106.0,0.1,5.1,0.12,0.17,1.05,0,2,3,0,1,0
21,90.0,1,1,2,2,6,1,0,5,204667,137152,0,101.60000000000001,81.4,100.0,0.1,5.1,0.12,0.16,1.33,0,2,10,0,1,0
29,90.0,2,1,2,5,4,1,0,5,188007,112719,0,135.4,108.1,88.0,0.1,5.1,0.15,0.15,1.15,1,2,3,0,1,0
27,86.8,2,0,2,5,4,0,0,5,254694,112168,0,113.2,98.1,101.0,0.1,5.1,0.15,0.14,1.12,0,4,3,0,1,0
21,86.8,1,0,3,3,3,0,0,5,250153,124634,0,97.4,82.5,92.0,0.0,5.1,0.1,0.11,0.87,0,2,1,0,1,0
20,71.8,1,0,3,3,1,0,0,5,190234,139765,0,80.8,75.39999999999999,74.0,0.0,5.1,0.08,0.06,0.64,1,2,5,0,1,0
22,71.8,1,1,2,3,2,0,0,5,252174,221667,0,104.0,104.5,95.0,0.0,5.1,0.09,0.07,0.48,0,3,2,0,1,0
14,71.8,0,1,2,0,3,0,0,5,233500,221234,0,69.8,75.4,61.0,0.0,5.1,0.04,0.08,0.58,1,3,2,0,1,0
13,75.0,0,1,2,0,3,1,0,5,161974,238278,0,75.19999999999999,87.49999999999999,80.0,0.0,5.1,0.09,0.07,0.72,0,4,3,0,1,0
13,75.0,0,1,2,0,3,1,0,5,143335,233493,0,78.2,102.00000000000001,61.0,-0.1,5.0,0.09,0.1,0.97,1,3,5,0,1,0
17,90.0,0,2,2,0,5,1,0,5,124047,223505,0,113.39999999999999,151.9,71.0,-0.1,5.0,0.09,0.24,1.03,0,2,2,0,1,0
14,90.0,0,1,2,0,5,1,0,5,44991,132188,0,86.2,147.10000000000002,61.0,-0.1,5.0,0.1,0.24,1.15,1,3,2,0,1,0
14,88.0,0,1,2,0,4,1,0,5,46640,128462,0,86.8,169.8,71.0,-0.2,4.9,0.11,0.24,1.37,1,5,2,0,1,0
14,86.4,0,1,1,0,7,0,0,5,57215,110410,0,83.6,135.7,42.0,-0.2,4.9,0.06,0.22,1.49,0,2,2,0,1,0
13,84.0,0,1,0,0,9,0,0,5,52762,91849,0,64.4,120.4,47.0,-0.1,4.9,0.05,0.2,1.27,0,3,3,0,1,0
11,84.0,0,0,1,0,7,0,0,5,60302,80175,0,38.0,88.1,41.0,-0.1,4.9,0.05,0.07,1.2,1,2,3,0,1,0
12,80.2,0,0,2,0,6,0,0,5,63253,68487,0,38.800000000000004,66.80000000000001,28.0,-0.1,4.9,0.03,0.06,1.02,1,2,1,0,1,0
11,65.4,0,0,2,0,5,0,0,4,49114,70001,0,24.0,31.9,20.0,0.0,4.9,0.02,0.05,0.57,0,2,3,0,1,0
12,67.0,0,0,3,0,2,0,0,4,34677,72987,0,31.0,43.4,37.0,0.0,4.9,0.04,0.04,0.4,1,2,9,0,1,0
19,69.4,1,0,3,2,1,0,0,4,32950,65307,0,70.2,56.3,62.0,0.0,4.9,0.11,0.05,0.44,1,2,9,0,1,0
25,68.4,2,0,2,4,2,0,0,4,26257,60594,0,103.6,58.599999999999994,77.0,0.0,4.9,0.14,0.08,0.59,0,4,1,0,1,0
23,72.2,2,0,1,4,4,1,0,4,24453,50709,0,104.8,55.0,84.0,0.0,4.9,0.14,0.08,1.24,0,3,2,0,1,0
24,89.0,2,0,1,4,6,1,0,5,34730,41822,0,115.2,73.10000000000001,84.0,0.0,4.9,0.14,0.08,1.59,1,2,0,0,1,0
21,88.75,2,0,0,4,6,1,0,4,39681,31550,0,103.2,57.400000000000006,61.0,0.0,4.9,0.15,0.09,1.77,0,5,1,0,1,0
13,81.0,1,0,0,2,8,1,0,4,36669,41502,0,67.0,51.4,37.0,0.0,4.9,0.05,0.08,2.08,1,3,13,0,1,0
17,82.25,0,3,0,2,8,1,0,4,32838,41945,0,74.6,58.6,75.0,-0.1,4.8,0.2,0.06,2.08,0,4,3,0,1,0
19,82.25,0,3,1,2,6,0,0,4,38134,41512,0,86.60000000000001,70.5,70.0,-0.1,4.8,0.19,0.1,1.41,1,3,1,0,1,0
18,74.5,0,3,1,2,5,0,0,4,37445,40841,0,79.2,74.0,72.0,-0.1,4.8,0.21,0.09,1.21,0,2,2,0,1,0
20,72.0,0,3,1,2,6,0,0,5,42814,42378,0,82.60000000000001,75.60000000000001,72.0,-0.1,4.8,0.17,0.07,1.03,1,2,15,0,1,0
2,1.5,0,0,0,0,0,0,0,0,2138,9733,0,2.2,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0,4,0,1,0,0
2,1.5,0,0,0,0,0,0,0,0,2694,10762,0,2.2,0.0,0.0,-0.2,4.3,0.0,0.0,0.0,0,3,0,1,0,0
2,1.5,0,0,0,0,0,0,0,0,2177,7456,0,2.2,0.0,0.0,-0.1,4.3,0.0,0.0,0.0,1,3,0,1,0,0
2,1.5,0,0,0,0,0,0,0,0,1876,5171,0,2.2,0.0,0.0,-0.2,4.2,0.0,0.0,0.0,1,4,0,1,0,0
1,2.0,0,0,0,0,0,0,0,0,2153,3704,0,2.2,0.0,0.0,-0.1,4.2,0.0,0.0,0.0,0,2,1,1,0,0
1,8.0,0,0,0,0,0,0,0,0,2021,3251,0,0.2,0.1,0.0,-0.1,4.2,0.0,0.0,0.14,0,2,0,1,0,0
1,8.0,0,0,0,0,0,0,0,0,1725,2529,0,0.2,0.1,0.0,-0.1,4.2,0.0,0.0,0.14,1,2,0,1,0,0
1,8.0,0,0,0,0,0,0,0,0,1810,2688,0,0.2,0.1,0.0,-0.1,4.2,0.0,0.0,0.14,0,4,1,1,0,0
2,4.5,0,0,0,0,0,0,0,0,1573,2508,0,0.2,0.1,0.0,0.0,4.2,0.0,0.0,0.07,0,2,0,1,0,0
2,4.5,0,0,0,0,0,0,0,0,1156,2148,0,0.2,0.1,0.0,0.0,4.2,0.0,0.0,0.07,1,2,0,1,0,0
1,1.0,0,0,0,0,0,0,0,0,1601,2255,0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0,3,1,1,0,0
2,2.0,0,0,0,0,0,0,0,0,1456,2209,0,1.0,0.0,0.0,0.0,4.2,0.0,0.0,0.07,1,3,0,1,0,0
2,2.0,0,0,0,0,0,0,0,0,1321,1948,0,1.0,0.0,0.0,0.0,4.2,0.0,0.0,0.07,0,4,0,1,0,0
1,3.0,0,0,0,0,0,0,0,0,1279,1804,0,1.0,0.0,0.0,0.0,4.2,0.0,0.0,0.14,1,3,1,1,0,0
2,2.0,0,0,0,0,0,0,0,0,1127,1701,0,1.0,0.0,0.0,0.0,4.2,0.0,0.0,0.07,0,2,0,1,0,0
2,2.0,0,0,0,0,0,0,0,0,482,1230,0,1.0,0.0,0.0,0.0,4.2,0.0,0.0,0.07,1,3,0,1,0,0
1,1.0,0,0,0,0,0,0,0,0,442,1154,0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,1,5,0,1,0,0
1,1.0,0,0,0,0,0,0,0,0,453,1138,0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0,2,1,1,0,0
2,1.0,0,0,0,0,0,0,0,0,408,1024,0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0,3,0,1,0,0
1,1.0,0,0,0,0,0,0,0,0,406,948,0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,1,2,0,1,0,0
1,1.0,0,0,0,0,0,0,0,0,346,808,0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,1,2,0,1,0,0
1,1.0,0,0,0,0,0,0,0,0,356,767,0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0,2,0,1,0,0
1,1.0,0,0,0,0,0,0,0,0,351,693,0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,1,2,2,1,0,0
2,90.0,0,0,0,0,1,0,0,1,442,687,0,20.4,1.3,7.0,0.0,4.2,0.03,0.01,0.6,1,2,2,1,0,0
4,90.0,0,0,0,0,2,0,0,2,1215,710,0,41.599999999999994,2.7,7.0,0.0,4.2,0.02,0.01,0.69,0,4,1,1,0,0
5,90.0,0,0,0,0,4,0,0,3,1883,815,0,60.199999999999996,5.8999999999999995,9.0,0.0,4.2,0.01,0.01,1.78,0,3,1,1,0,0
6,90.0,0,0,0,0,6,0,0,4,4279,1049,0,85.0,6.8,26.0,0.0,4.2,0.02,0.01,1.77,1,2,1,1,0,0
7,90.0,0,0,0,0,9,0,0,5,8749,1650,0,94.4,9.600000000000001,30.0,0.0,4.2,0.03,0.01,1.7,0,5,6,1,0,0
11,90.0,1,0,0,0,12,0,0,5,9221,3049,0,125.8,8.9,47.0,0.0,4.2,0.06,0.03,1.99,1,3,1,1,0,0
10,73.0,1,0,0,0,11,0,0,4,11735,4361,0,107.0,7.5,47.0,0.0,4.2,0.06,0.03,1.9,0,4,0,1,0,0
9,68.75,1,0,0,0,9,0,0,3,12460,5417,0,88.39999999999999,4.3,45.0,0.0,4.2,0.07,0.03,1.38,1,3,0,1,0,0
