season,gameweek,team,opponent_team,is_home,lagged_GC_1,lagged_GC_2,lagged_GC_3,lagged_GC_4,lagged_GC_5,lagged_GS_1,lagged_GS_2,lagged_GS_3,lagged_GS_4,lagged_GS_5,days_rest,days_till_next,opponent_lagged_GC_1,opponent_lagged_GC_2,opponent_lagged_GC_3,opponent_lagged_GC_4,opponent_lagged_GC_5,opponent_lagged_GS_1,opponent_lagged_GS_2,opponent_lagged_GS_3,opponent_lagged_GS_4,opponent_lagged_GS_5,opponent_days_rest,opponent_days_till_next,goals_conceded
2223,1.0,7,1,1,,,,,,,,,,,,10.0,,,,,,,,,,,,7.0,2.0
2223,1.0,1,7,0,,,,,,,,,,,,7.0,,,,,,,,,,,,10.0,0.0
2223,1.0,9,12,1,,,,,,,,,,,,7.0,,,,,,,,,,,,9.0,2.0
2223,1.0,12,9,0,,,,,,,,,,,,9.0,,,,,,,,,,,,7.0,2.0
2223,1.0,3,2,1,,,,,,,,,,,,7.0,,,,,,,,,,,,6.0,0.0
2223,1.0,2,3,0,,,,,,,,,,,,6.0,,,,,,,,,,,,7.0,2.0
2223,1.0,11,20,1,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,1.0
2223,1.0,20,11,0,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,2.0
2223,1.0,15,16,1,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,0.0
2223,1.0,16,15,0,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,2.0
2223,1.0,18,17,1,,,,,,,,,,,,8.0,,,,,,,,,,,,7.0,1.0
2223,1.0,17,18,0,,,,,,,,,,,,7.0,,,,,,,,,,,,8.0,4.0
2223,1.0,8,6,1,,,,,,,,,,,,6.0,,,,,,,,,,,,7.0,1.0
2223,1.0,6,8,0,,,,,,,,,,,,7.0,,,,,,,,,,,,6.0,0.0
2223,1.0,10,4,1,,,,,,,,,,,,6.0,,,,,,,,,,,,6.0,2.0
2223,1.0,4,10,0,,,,,,,,,,,,6.0,,,,,,,,,,,,6.0,2.0
2223,1.0,14,5,1,,,,,,,,,,,,6.0,,,,,,,,,,,,6.0,2.0
2223,1.0,5,14,0,,,,,,,,,,,,6.0,,,,,,,,,,,,6.0,1.0
2223,1.0,19,13,1,,,,,,,,,,,,6.0,,,,,,,,,,,,5.0,2.0
2223,1.0,13,19,0,,,,,,,,,,,,5.0,,,,,,,,,,,,6.0,0.0
2223,2.0,2,8,1,2.0,,,,,0.0,,,,,6.0,7.0,1.0,,,,,0.0,,,,,6.0,7.0,1.0
2223,2.0,8,2,0,1.0,,,,,0.0,,,,,6.0,7.0,2.0,,,,,0.0,,,,,6.0,7.0,2.0
2223,2.0,1,10,1,0.0,,,,,2.0,,,,,7.0,7.0,2.0,,,,,2.0,,,,,6.0,7.0,2.0
2223,2.0,10,1,0,2.0,,,,,2.0,,,,,6.0,7.0,0.0,,,,,2.0,,,,,7.0,7.0,4.0
2223,2.0,5,15,1,1.0,,,,,2.0,,,,,6.0,7.0,0.0,,,,,2.0,,,,,7.0,8.0,0.0
2223,2.0,15,5,0,0.0,,,,,2.0,,,,,7.0,8.0,1.0,,,,,2.0,,,,,6.0,7.0,0.0
2223,2.0,13,3,1,0.0,,,,,2.0,,,,,5.0,8.0,0.0,,,,,2.0,,,,,7.0,7.0,0.0
2223,2.0,3,13,0,0.0,,,,,2.0,,,,,7.0,7.0,0.0,,,,,2.0,,,,,5.0,8.0,4.0
2223,2.0,17,11,1,4.0,,,,,1.0,,,,,7.0,7.0,1.0,,,,,2.0,,,,,7.0,7.0,2.0
2223,2.0,11,17,0,1.0,,,,,2.0,,,,,7.0,7.0,4.0,,,,,1.0,,,,,7.0,7.0,2.0
2223,2.0,20,9,1,2.0,,,,,1.0,,,,,7.0,6.0,2.0,,,,,2.0,,,,,7.0,7.0,0.0
2223,2.0,9,20,0,2.0,,,,,2.0,,,,,7.0,7.0,2.0,,,,,1.0,,,,,7.0,6.0,0.0
2223,2.0,4,14,1,2.0,,,,,2.0,,,,,6.0,6.0,2.0,,,,,1.0,,,,,6.0,9.0,0.0
2223,2.0,14,4,0,2.0,,,,,1.0,,,,,6.0,9.0,2.0,,,,,2.0,,,,,6.0,6.0,4.0
