season,gameweek,team,opponent_team,is_home,lagged_GC_1,lagged_GC_2,lagged_GC_3,lagged_GC_4,lagged_GC_5,lagged_GS_1,lagged_GS_2,lagged_GS_3,lagged_GS_4,lagged_GS_5,days_rest,days_till_next,opponent_lagged_GC_1,opponent_lagged_GC_2,opponent_lagged_GC_3,opponent_lagged_GC_4,opponent_lagged_GC_5,opponent_lagged_GS_1,opponent_lagged_GS_2,opponent_lagged_GS_3,opponent_lagged_GS_4,opponent_lagged_GS_5,opponent_days_rest,opponent_days_till_next,goals_conceded
2223,1,7,1,1,,,,,,,,,,,,10.0,,,,,,,,,,,,7.0,2
2223,1,1,7,0,,,,,,,,,,,,7.0,,,,,,,,,,,,10.0,0
2223,1,9,12,1,,,,,,,,,,,,7.0,,,,,,,,,,,,9.0,2
2223,1,12,9,0,,,,,,,,,,,,9.0,,,,,,,,,,,,7.0,2
2223,1,3,2,1,,,,,,,,,,,,7.0,,,,,,,,,,,,6.0,0
2223,1,2,3,0,,,,,,,,,,,,6.0,,,,,,,,,,,,7.0,2
2223,1,11,20,1,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,1
2223,1,20,11,0,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,2
2223,1,15,16,1,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,0
2223,1,16,15,0,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,2
2223,1,18,17,1,,,,,,,,,,,,8.0,,,,,,,,,,,,7.0,1
2223,1,17,18,0,,,,,,,,,,,,7.0,,,,,,,,,,,,8.0,4
2223,1,8,6,1,,,,,,,,,,,,6.0,,,,,,,,,,,,7.0,1
2223,1,6,8,0,,,,,,,,,,,,7.0,,,,,,,,,,,,6.0,0
2223,1,10,4,1,,,,,,,,,,,,6.0,,,,,,,,,,,,6.0,2
2223,1,4,10,0,,,,,,,,,,,,6.0,,,,,,,,,,,,6.0,2
2223,1,14,5,1,,,,,,,,,,,,6.0,,,,,,,,,,,,6.0,2
2223,1,5,14,0,,,,,,,,,,,,6.0,,,,,,,,,,,,6.0,1
2223,1,19,13,1,,,,,,,,,,,,6.0,,,,,,,,,,,,5.0,2
2223,1,13,19,0,,,,,,,,,,,,5.0,,,,,,,,,,,,6.0,0
2223,2,2,8,1,2.0,,,,,0.0,,,,,6.0,7.0,1.0,,,,,0.0,,,,,6.0,7.0,1
2223,2,8,2,0,1.0,,,,,0.0,,,,,6.0,7.0,2.0,,,,,0.0,,,,,6.0,7.0,2
2223,2,1,10,1,0.0,,,,,2.0,,,,,7.0,7.0,2.0,,,,,2.0,,,,,6.0,7.0,2
2223,2,10,1,0,2.0,,,,,2.0,,,,,6.0,7.0,0.0,,,,,2.0,,,,,7.0,7.0,4
2223,2,5,15,1,1.0,,,,,2.0,,,,,6.0,7.0,0.0,,,,,2.0,,,,,7.0,8.0,0
2223,2,15,5,0,0.0,,,,,2.0,,,,,7.0,8.0,1.0,,,,,2.0,,,,,6.0,7.0,0
2223,2,13,3,1,0.0,,,,,2.0,,,,,5.0,8.0,0.0,,,,,2.0,,,,,7.0,7.0,0
2223,2,3,13,0,0.0,,,,,2.0,,,,,7.0,7.0,0.0,,,,,2.0,,,,,5.0,8.0,4
2223,2,17,11,1,4.0,,,,,1.0,,,,,7.0,7.0,1.0,,,,,2.0,,,,,7.0,7.0,2
2223,2,11,17,0,1.0,,,,,2.0,,,,,7.0,7.0,4.0,,,,,1.0,,,,,7.0,7.0,2
2223,2,20,9,1,2.0,,,,,1.0,,,,,7.0,6.0,2.0,,,,,2.0,,,,,7.0,7.0,0
2223,2,9,20,0,2.0,,,,,2.0,,,,,7.0,7.0,2.0,,,,,1.0,,,,,7.0,6.0,0
2223,2,4,14,1,2.0,,,,,2.0,,,,,6.0,6.0,2.0,,,,,1.0,,,,,6.0,9.0,0
2223,2,14,4,0,2.0,,,,,1.0,,,,,6.0,9.0,2.0,,,,,2.0,,,,,6.0,6.0,4
2223,2,16,19,1,2.0,,,,,0.0,,,,,7.0,6.0,2.0,,,,,0.0,,,,,6.0,7.0,0
2223,2,19,16,0,2.0,,,,,0.0,,,,,6.0,7.0,2.0,,,,,0.0,,,,,7.0,6.0,1
2223,2,6,18,1,0.0,,,,,1.0,,,,,7.0,6.0,1.0,,,,,4.0,,,,,8.0,5.0,2
2223,2,18,6,0,1.0,,,,,4.0,,,,,8.0,5.0,0.0,,,,,1.0,,,,,7.0,6.0,2
2223,2,12,7,1,2.0,,,,,2.0,,,,,9.0,7.0,2.0,,,,,0.0,,,,,10.0,4.0,1
2223,2,7,12,0,2.0,,,,,0.0,,,,,10.0,4.0,2.0,,,,,2.0,,,,,9.0,7.0,1
2223,3,18,20,1,2.0,1.0,,,,2.0,4.0,,,,5.0,8.0,0.0,2.0,,,,0.0,1.0,,,,6.0,8.0,0
2223,3,20,18,0,0.0,2.0,,,,0.0,1.0,,,,6.0,8.0,2.0,1.0,,,,2.0,4.0,,,,5.0,8.0,1
2223,3,7,2,1,1.0,2.0,,,,1.0,0.0,,,,4.0,7.0,1.0,2.0,,,,2.0,0.0,,,,7.0,7.0,1
2223,3,2,7,0,1.0,2.0,,,,2.0,0.0,,,,7.0,7.0,1.0,2.0,,,,1.0,0.0,,,,4.0,7.0,3
2223,3,8,16,1,2.0,1.0,,,,1.0,0.0,,,,7.0,7.0,0.0,2.0,,,,1.0,0.0,,,,6.0,8.0,1
2223,3,16,8,0,0.0,2.0,,,,1.0,0.0,,,,6.0,8.0,2.0,1.0,,,,1.0,0.0,,,,7.0,7.0,1
2223,3,9,4,1,0.0,2.0,,,,0.0,2.0,,,,7.0,7.0,0.0,2.0,,,,4.0,2.0,,,,6.0,7.0,2
2223,3,4,9,0,0.0,2.0,,,,4.0,2.0,,,,6.0,7.0,0.0,2.0,,,,0.0,2.0,,,,7.0,7.0,3
2223,3,10,17,1,4.0,2.0,,,,2.0,2.0,,,,7.0,7.0,2.0,4.0,,,,2.0,1.0,,,,7.0,6.0,2
2223,3,17,10,0,2.0,4.0,,,,2.0,1.0,,,,7.0,6.0,4.0,2.0,,,,2.0,2.0,,,,7.0,7.0,1
2223,3,3,1,1,4.0,0.0,,,,0.0,2.0,,,,7.0,6.0,2.0,0.0,,,,4.0,2.0,,,,7.0,7.0,3
